"idservicio","nombre","mercado","tipo","infraestructura","descripcion","resultados","fregistro","informante","entidad","autorizado"
"4","Evaluacion Fisica de edificios  centros de Salud, 
evaluacion fisica de viviendas etc","OPS
SINAPRED","9","Cintas, software de Prevencion y Mitigacion de Desastres proporcionado por el Dr Ugarte.","1) Levantamineot fisico y llenando un formato","1.- Fijacion de conocimientos Tecnicos de los voluntarios
2.- Creacion de valores y formacion integral del mismo
3).-Apoyar a la comunidad en el desarrollo local ","2010-09-24","Mayra Toruño","SVU","Si"
"5","Capacitacion en Instalacion, Mantenimiento y Reparacion de Sistemas Solares Fotovoltaicos","Organismos No Gubernamentales, Agencias de Gobierno, Empresas Suplidoras, personal privado, etc","3","Laboratorio de Energias Renovables, Sistema Solar Fotovoltaico Experimental, Software de Aplicacion","Capacitacion de personal para que adquiera los conocimientos y destrezas para la correcta seleccion de equipos, para una instalacion fotovoltaica, asi como los procedimientos de mantenimiento y reparacion en caso de falla del sistema.","Diploma de Instalador Solar Fotovoltaico","2010-09-24","Julio Noel Canales","PCER","Si"
"2","Consultoria en TIC","las Pymes, INPYME, MFIC","11","Laboratorios, software especializado ","Analisis, diseno y desarrollo de Sistemas de Informacion incluyendo plataforma de redes de comunicacion (LAN, WAN, Voz sobre IP)","Diseño del Sistema de Información para atención a las PYMES 
Diseño de la red de INPYME y Sistema de Información
Diseño, Implementación y Validación del Sistema de Información estadístico de las MIPYMES del MIFIC","2010-09-23","Marvin Arias","ASDI-FEC","Si"
"3","ASESORIA TECNICA Y ESPECIALIZADA","INSTITUCIONES DEL ESTADO, GOBIERNOS REGIONALES Y MUNICIPALES, Y ORGANIZACIONES NO GUBERNAMENTALES","2","ARC GIS, PAQUETE CAD, PROJECT, EIA, EQUIPAMIENTO TECNOLOGICO","ELABORACION DE LOS DIAGNOSTICOS Y DISEÑOS EN:  ORDENAMIENTO TERRITORIAL, PLANIFICACION Y GESTION URBANA, AGUA Y SANEAMIENTO, ANALISIS Y DISEÑO ESTRUCTURAL, ESTUDIOS Y EVALUACION DE IMPACTO AMBIENTAL DE PROYECTOS, AUDITORIA Y DISEÑO DE EFICIENCIA ENERGETICA","SERVICIO NUEVO","2010-09-23","JAIRO MARTINEZ PARAMO","FODMU","Si"
"6","GESTION, FORMULACION, ASESORIA Y SUPERVISION TECNICA Y ESPECIALIZADA.","INSTITUCIONES DEL ESTADO, GOBIERNOS MUNICIPALES Y REGIONALES, Y ORGANIZACIONES NO GUBERNAMENTALES","11","PROJECT, PAQUETE DE MEDISION ELECTRICA (voltímetro, luxómetro, etc.)  , VEHICULO, COMPUTADORA PORTATIL. ","Elaboración de formulaciones, diseños y supervisión de proyectos en energías renovables, auditorías energéticas, sistemas eléctricos.
Elaboración de planes de capacitación y estudios en auditorías ambientales en los municipios de todo el país, sistemas de gestión ambiental e implementación de producción más limpia en todas las instalaciones físicas gubernamentales. 
","NUEVO","2010-09-27","JAIRO MARTINEZ PARAMO","FODMU","Si"
"7","Gestion, Asesoria, Formulacion y Supervision Tecnica Especializada.","Se Estara Trabajando de Manera Directa con Alcaldias, Ministerios y Organismos no Gubernamentales.","7","Estaremos Utilisando AUTO CAD, PROJECT, ETC."," Asistencia en el Diseño Estructural Dirigida a Ministerios y Alcaldias del Pais.
 Apoyo en Supervision y Construccion de Obras Verticales, Horizontales y Aguas.
 Dirigir y Fortalecer las Debilidades en Formulacion y Planificacion Estructural.
 Asesoria en la Elaboracion de Diagnosticos del Estado Fisico de la 
 Infraestructura en las Instalaciones de Ministerios, Institutos y Direcciones del   Pais. ","Nuevo.","2010-09-27","JAIRO MARTINEZ PARAMO","FODMU","Si"
"9","Evaluación del Potencial Eólico de un Sitio Especifico para generación de energía eléctrica.","1. Inversionistas interesados en la generación de energia electrica con energía 
     eólica.
2. Gobiernos nacional, municipales y regionales.","11","1. Instrumentos de medición de viento.
2. Instrumentos de medición de temperatura.
3. Torres metálicas.
4. Software especializado en evaluacion de vientos (NRG Systems, WindPRO y   
    WAsP). ","Consiste en evaluar el potencial eólico de un sitio para generación de energía eléctrica, estos proyectos pueden ser conectados al Sistema Interconectado Nacional o Sistemas Aislados. 

El trabajo se realiza en un período mínimo de un año, realizandose la medición de las variables climaticas y su procesamiento.","1. Análisis de los datos con la ayuda de los softwares NRG Systems, WINPRO y  
    WASP. 
2. Selección de los aerogeneradores requeridos para la futura instalación.
3. Localización óptima de los posibles generadores eólicos, lo cual se reflejará en 
    mapas topográficos digitalizados y curvas de nivel digitalizadas a 5 m de   
    distancia. 
4. Calculo estimado del nivel de ruido para cada uno de los aerogeneradores 
    propuestos.
5. Simulación fotográfica (Impacto Visual) del parque eólico en el sitio del proyecto.
6. Perfil del viento vertical.
7. Calculo de la producción de energía eléctrica para modelos de 
    aerogeneradores de diferente capacidad y alturas de bujes diferentes, 
    basados en las mediciones de viento realizadas y en las curvas de potencia de 
    cada uno de ellos.","2010-09-29","Eduardo Su Aguilar","GPE","Si"
"82","COMPUFEC","Bachilleres, Estudiantes universitarios, ONG""S, Profesionales Licenciado, Ingeniero, Empresas Privadas, Instituciones, ONG""S","31","\N","\N","\N","2010-10-27","Mildred Silva","FEC","Si"
"48","Curso -Taller ""Analisis Cualitativo en Procesos de Autoevaluación y Acreditación en Instituciones de Educación Superior""","Miembros de las instituciones de la educación superior del país.","3","Aula en el edificio de posgrado
Datashow
Computadora portátil
","Capacitar a los participantes en el análisis de datos cualitativos en los procesos de autoevaluación y acreditación de las instituciones de la educación superior.","0 personas capacitadas","2010-10-26","Manuel Hernández Téllez","PIEAU","No"
"47","Investigaciones en el Area de la Educación ","Autoridades de las Instituciones de la Educación Superior del País","26","Centro especializado
Personal calificado
Microsoft office 2007
Sotfware SPSS V.15","Realizar investigaciones en el área de la educación en correspondencia con las líneas de investigación y ejes temáticos del Centro.","0 investigaciones reaslizadas.","2010-10-26","Manuel Hernández Téllez","PIEAU","No"
