"idservicio","descripcion"
"1","Analisis de Laboratorio"
"2","Asesoria"
"3","Capacitacion"
"4","Validaciones"
"5","Ofertas de Productos Tecnologicos"
"6","Desarrollo Empresarial"
"7","Diagnosticos"
"8","Pruebas Tecnicas"
"9","Evaluaciones"
"10","Investigacion"
"11","Consultoria"
"12","Auditoria"
"13","Calibraciones de instrumentos de medición "
"18","Voluntariado"
"21","Curso de Educación Continua"
"22","Post-Grado"
"23","Doctorado"
"24","Curso de graduaciòn"
"25","Diplomado"
"26","Investigación"
"27","Maestría"
"28","Pasantía"
"29","Especialidad"
"30","Tecnco Medio"
"31","Capacitacion y Entrenamiento"
"32","Consultoria en  desarrollo de proyecto"
"33","Asesoría, Capacitación, Desarrollo Empresarial"
"34","Pruebas Técnicas, Consultoría, Investigación, "
"35","Consultorías, Asesorías, Investigación."
"36","Consultoría, Asesoría, Investigación."
"37","Consultoría, Asesoría, Investigación."
"38","Análisis de Laboratorio, Pruebas Tecnicas"
"39","Productos de e-wasting"
"40","Certificaciones"
"41","Soluciones informáticas con Software libre"
"42","Ensayos de Simulacion"
"43","Procesos que requieran arranque de viruta"
"44","Procesos que requieran arranque de viruta"
"45","Mantenimiento preventivo y correctivo de automoviles"
"46","Capacitacion y Servicio de Soldadura"
"47","Diseño de pequeñas piezas por fundicion"
"48","Estudios"
"49","Estudio"
"50","Centro de documentación"
"51","Extensión Universitaria"
"52","Proyecto"
"53","Docencia de prácticas de laboratorio"
"54","Diagnóstico y Pruebas Técnicas"
"55","Asesoría, Diagnósticos y Pruebas Técnicas"
"56","Diagnósticos y Pruebas Técnicas"
"57","Asesoría, Diagnósticos y Pruebas Técnicas"
"58","Asesoría, Diagnósticos y Pruebas Técnicas"
"59","Asesoría, Desarrollo Empresarial, Diagnósticos y Pruebas Técnicas"
"60","Organización de ACT"
"61","Diseño de sistema de levantamiento de información"
"62","Asesoria, Capacitacion y Diagnosticos"
"63","Analisis de Laboratorio, Asesoria y Diagnosticos"
"64","Asesoria, Desarrollo Empresarial y Diagnosticos"
"65","Técnico Superior"
